order_qty,ship_qty,units,item,upc,brand,description,pack_size,price,extended_price,cost_per_item,store_price,online_price
4,4,CS012,231655,187093186559,ABTEY,ROYAL DE LYS 17PC BALLOTIN,12/7.76 OZ,127.08,508.32,10.59,16.79,17.29
6,6,CS012,231660,187093208527,ABTEY,SACHET ROYAL DESLYS FRUIT,12/7 OZ,98.28,589.68,8.19,13.09,13.59
6,6,CS012,231674,187093166674,ABTEY,PRESTIGE LIQUEURS BAG,12/7 OZ,98.28,589.68,8.19,13.09,13.59
6,6,CS012,231755,187093101583,ABTEY,ROYAL LYS WILLIAMS PEAR BAG,12/7 OZ,98.28,589.68,8.19,13.09,13.59
2,2,CS012,231849,187093128498,ABTEY,SELECTION LUQUEURS 12,12/5.47 OZ,107.88,215.76,8.99,14.29,14.79
2,2,CS014,231858,187093208589,ABTEY,ROYAL DESLYS 20PC CHOC,14/8.82 OZ,195.86,391.72,13.99,21.99,22.49
2,2,CS012,231863,187093198637,ABTEY,REGLETTE SELECTION LIQUEURS,12/8.64 OZ,167.88,335.76,13.99,21.99,22.49
1,1,CS008,231869,187093248752,ABTEY,ADVENT EXCLUSIVE EDITION,8/9.5 OZ,151.92,151.92,18.99,29.79,30.29
18,18,CS006,184111,816095011117,ASBACH,BRANDY-FILLED CHOCOLATE,6/8.8 OZ,86.94,1564.92,14.49,22.79,23.29
14,14,CS008,184114,816095011148,ASBACH,BRANDY-FILLED CHOCOLATE,8/4.4 OZ,59.92,838.88,7.49,11.99,12.49
5,5,CS010,184115,816095011155,ASBACH,DK CHOC BOTTLES 8 PC,10/3.5 OZ,61.9,309.5,6.19,9.99,10.49
18,18,CS006,184121,816095011216,ASBACH,LARGE CHERRIES WITH BRANDY,6/7.05 OZ,77.94,1402.92,12.99,20.49,20.99
15,15,CS008,184124,816095011247,ASBACH,SMALL CHERRIES WITH BRANDY,8/3.5 OZ,55.92,838.8,6.99,11.19,11.69
12,12,CS006,184131,816095011315,ASBACH,CHOC BRANDY-FILLED BEANS LG,6/7.05 OZ,77.94,935.28,12.99,20.49,20.99
10,10,CS008,184133,816095011339,ASBACH,CHOCOLATE BRANDY-FILLED,8/3.5 OZ,55.92,559.2,6.99,11.19,11.69
